Collection,Brand,Macro Region|Orig. Req. Deliv. Month/Year,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,Total,StyleCode,Size,ColorDescription,FrameConstruction,FrameShape,RXAble,Gender,SunOptical,Material1,Material2,USRetailPrice,USWholesalePrice
LA,LACOSTE OPTICAL,AMER,15.0,16.0,9.0,13.0,4.0,10.0,12.0,6.0,6.0,17.0,5.0,3.0,116.0,L2886,55,HAVANA,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,8.0,10.0,8.0,2.0,19.0,9.0,6.0,7.0,20.0,9.0,9.0,2.0,109.0,L2886,55,HAVANA,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,AMER,21.0,36.0,29.0,27.0,13.0,36.0,30.0,34.0,33.0,16.0,19.0,14.0,308.0,L2886,55,MATTE BLUE,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,EMEA,147.0,150.0,244.0,60.0,117.0,78.0,165.0,123.0,121.0,139.0,108.0,68.0,1520.0,L2886,55,MATTE BLUE,FULL RIM,ROUND,True,FEMALE,OPTICAL,ACETATE,ACETATE,205.0,102.5
LA,LACOSTE OPTICAL,AMER,,,,,,,,,3.0,7.0,13.0,12.0,35.0,L2894A,55,MATTE CRYS,FULL RIM,SQUARE,True,UNISEX,OPTICAL,ACETATE,ACETATE,240.0,120.0
LA,LACOSTE OPTICAL,AMER,41.0,55.0,46.0,89.0,62.0,25.0,35.0,63.0,53.0,26.0,37.0,42.0,574.0,L2291,54,BLACK,FULL RIM,RECTANGLE,True,MALE,OPTICAL,METAL,METAL,230.0,115.0
LA,LACOSTE OPTICAL,EMEA,204.0,196.0,158.0,106.0,141.0,154.0,127.0,139.0,156.0,137.0,136.0,102.0,1756.0,L2291,54,BLACK,FULL RIM,RECTANGLE,True,MALE,OPTICAL,METAL,METAL,230.0,115.0
LA,LACOSTE OPTICAL,AMER,23.0,33.0,42.0,56.0,40.0,38.0,44.0,56.0,46.0,54.0,27.0,23.0,482.0,L2291,54,DARK GREEN,FULL RIM,RECTANGLE,True,MALE,OPTICAL,METAL,METAL,230.0,115.0
LA,LACOSTE OPTICAL,EMEA,295.0,283.0,214.0,149.0,191.0,241.0,238.0,245.0,211.0,240.0,254.0,126.0,2687.0,L2291,54,DARK GREEN,FULL RIM,RECTANGLE,True,MALE,OPTICAL,METAL,METAL,230.0,115.0
LA,LACOSTE OPTICAL,AMER,8.0,22.0,22.0,44.0,25.0,16.0,30.0,25.0,25.0,33.0,12.0,18.0,280.0,L2291,54,NAVY BLUE,FULL RIM,RECTANGLE,True,MALE,OPTICAL,METAL,METAL,230.0,115.0
